qCoarse:qFine	question	answer
ENTY:cremat	Como se intitula a autobiografia de Nelson Mandela? 	Longo Caminho para a Liberdade 
HUM:ind	Como se chama a viúva do falecido presidente de Moçambique, Samora Machel? 	Graça Machel 
NUM:date	Quando foi fundada a companhia Netscape Communications? 	em 1994 
HUM:desc	Quem é Juan António Samaranch? 	presidente do Comité Olímpico Internacional 
NUM:date	Quando é que Pinochet chegou ao poder no Chile? 	1973
LOC:other	Onde é o CERN? 	Genebra 
HUM:ind	Quem é o líder do partido Likud? 	Benjamim Netanyahu 
DESC:desc	O que é a Goldman Sachs? 	casa de corretagem de nomeada 
LOC:country	Que país tem uma província chamada Antioquia? 	Colômbia 
HUM:ind	Qual o nome do presidente da Reserva Federal americana? 	Alan Greenspan 
HUM:ind	Quem foi um dos fundadores da Greenpeace? 	David McTaggart 
NUM:date	Em que ano foi fundada a NATO? 	1948
LOC:other	Onde nasceu Nick Leeson? 	Watford 
HUM:desc	Quem é João Havelange? 	presidente da FIFA 
ENTY:currency	Qual era a moeda da Argentina? 	austral 
ENTY:currency	Qual é a moeda do México? 	peso 
ABBR:exp	O que significa a abreviatura OUA? 	Organização de Unidade Africana 
LOC:other	Onde fica Hyde Park? 	nos Estados Unidos 
HUM:ind	Quem assassinou Yitzhak Rabin? 	Yigal Amir 
HUM:ind	Qual o nome próprio do financeiro Soros? 	George 
HUM:gr	De que partido político é dirigente Ian Paisley? 	Partido Democrático Unionista 
NUM:period	Que idade tem o primeiro-ministro russo Viktor Tchernomirdine? 	56
HUM:ind	Quem é o presidente da Autoridade Nacional Palestiniana? 	Yasser Arafat 
DESC:manner	Como se defendeu Vladimir Zhirinovsky contra manifestantes em Estrasburgo? 	atirando plantas e terra 
HUM:ind	Quem é Ruben Acosta? 	Presidente do México 
ABBR:exp	Que significa a abreviatura AWACS nos aviões AWACS? 	Airborne Warning and Control System 
HUM:gr	Por que equipa corre Michael Schumacher? 	Benetton 
HUM:ind	Qual foi o arquitecto do novo aeroporto da cidade japonesa de Osaca? 	Renzo Piano 
HUM:gr	Que organização luta pela libertação do Tamil Eelam? 	LTTE 
ENTY:substance	Que gás contribui para o efeito de estufa? 	dióxido de carbono 
HUM:gr	Qual a companhia de aviação nacional belga? 	Sabena 
ENTY:other	Qual o maior planeta do sistema solar? 	Júpiter 
ABBR:exp	Que significa MBA? 	Master of Business Administration 
HUM:ind	Que escritor foi o último marido de Marilyn Monroe? 	Arthur Miller 
HUM:gr	Qual a maior companhia de software do mundo? 	Microsoft 
DESC:def	O que é a MSNBC? 	novo canal 
HUM:desc	Quem é Andrew Lack? 	director noticioso do gigante televisivo americano NBC 
HUM:gr	Quem produz o Invirase? 	a companhia química de Basileia Hoffmann-La Roche 
DESC:def	O que é a IUPAC? 	União Internacional de Química Pura e Aplicada 
LOC:other	Onde está preso Hugo Lacour? 	em Saarbrücken 
NUM:money	Qual o valor do Prémio Artístico de Darmstadt? 	10.000 marcos alemães 
NUM:date	Quando nasceu Marie-Jo Lafontaine? 	1950
LOC:other	Onde nasceu Marie-Jo Lafontaine? 	em Antuérpia 
LOC:other	Onde tem lugar a documenta? 	em Kassel 
DESC:def	O que é a ALDI? 	uma cadeia de supermercados 
HUM:ind	Como se chama o presidente da associação de comércio do Hesse? 	Heinz Rautenberg 
NUM:count	Quantas empresas artesanais existem no Hesse? 	56.000 
NUM:count	Quantos assinantes tem a MSN? 	600000
ENTY:product	Que produto da Sun vai a Microsoft licenciar? 	a linguagem de programação Java 
NUM:date	Quando se tornou Butzbach uma cidade de guarnição? 	1818
HUM:ind	Quem é o director dos arquivos municipais de Butzbach? 	Dieter Wolf 
NUM:date	Quando é que o cardeal Raymund Peraudi visitou Butzbach? 	em Outubro de 1502 
LOC:other	Onde é a sede do Instituto Monetário Europeu? 	Francoforte 
HUM:desc	Quem é Marvin Minsky? 	pioneiro da Inteligência Artificial 
DESC:def	O que eram os FTP? 	organização guerrilheira comunista 
NUM:money	Quanto pagou a IBM pelo Lotus? 	3,5 mil milhões de dólares 
HUM:gr	Que empresa tem a sua sede em Armonk? 	IBM 
NUM:date	Quando foi preso Hugo Lacour? 	Novembro de 1993 
ENTY:veh	Que chamou a Saab de volta à fábrica? 	42.000 veículos 
HUM:gr	A quem pertence a Saab Automobiles? 	ao grupo sueco AB Investor e ao grupo automóvel americano General Motors 
DESC:def	O que é a UNICE? 	União das Confederações Industriais e Patronais da Europa 
HUM:ind	Quem é o presidente da UNICE? 	Francois Perigot 
HUM:ind	Quem é o secretário-geral da secção alemã da Amnistia Internacional? 	Volkmar Deile 
HUM:ind	Quem foi forçado a demitir-se de governador da Caríntia em 1991? 	Haider 
NUM:date	Quando foi fundada a Dreamworks SKG? 	1994
HUM:ind	Quem fundou a Dreamworks SKG? 	o realizador Steven Spielberg 
HUM:gr	Que companhia investirá na Dreamworks SKG? 	o maior produto de software do mundo, a Microsoft 
HUM:desc	Quem é Christoph Ransmayr? 	escritor da Alta Áustria 
HUM:ind	Quem recebeu o prémio Kafka da Literatura em 1995? 	Christoph Ransmayr 
HUM:desc	Quem é Jorma Ollila? 	presidente da Nokia 
HUM:ind	Quem é o presidente da Nokia? 	Jorma Ollila 
HUM:gr	Qual é a maior empresa industrial da Finlândia? 	o grupo finlandês de electrónica e telecomunicações Nokia 
NUM:money	Qual o lucro do grupo electrónico e de telecomunicações finlandês Nokia em 1994? 	quatro milhões de markkas 
NUM:date	Quando é que a IBM lançou o primeiro PC? 	1981
LOC:other	Onde foi fundada a Hewlett-Packard (HP)? 	em Palo Alto 
NUM:count	Quantos empregados tinha o grupo HP no final de 1994? 	98400
NUM:perc	Que proporção do seu volume de negócios faz a HP na Europa? 	um terço do volume de negócios do grupo 
LOC:other	Onde é o castelo Esterhazy? 	em Eisenstadt 
DESC:def	O que é o CERN? 	o Laboratório Europeu de Física de Partículas 
LOC:other	Onde é a sede do CERN? 	em Genebra 
NUM:count	Quantos estados-membros tem o CERN? 	19
HUM:ind	Quem conseguiu roubar 20.000 números penetrando nos computadores da companhia nova-iorquina Netcom? 	o super-hacker americano Kevin Mitnick 
HUM:desc	Quem é Kevin Mitnick? 	super-hacker americano 
LOC:other	Onde é a sede da Lindt & Sprüngli? 	Kilchberg 
NUM:date	Quando foi criado o CERN? 	29 de Setembro de 1954 
HUM:ind	Quem é o director do CERN? 	Llewellyn Smith 
NUM:count	Quantas pessoas trabalham no CERN? 	cerca de 9000 físicos, cientistas e funcionários administrativos 
LOC:city	Qual é a capital estadual do Sarre? 	Saarbrücken 
NUM:count	Quantos habitantes tem a Eslovénia? 	dois milhões 
HUM:desc	Quem é Peter Tulviste? 	vice-reitor da Universidade de Tartu 
NUM:date	Quando entraram os tanques do exército jugoslavo na Eslovénia? 	a 27 de Junho de 1991 
HUM:gr	Que firma vendeu a Studer Revox AG? 	Motor Columbus AG (MC) 
HUM:gr	Por quem foi comprada a Studer Revox AG? 	Harman International Industries, Inc 
NUM:date	Quando foi fundada a Studer Revox? 	1948
LOC:other	Onde é a sede da Harman International Industries, Inc? 	Washington D.C. 
ENTY:currency	Como se chama a moeda da Geórgia? 	Lari 
HUM:desc	Quem é Nodar Dschawachischwili? 	chefe do Banco Central da Geórgia 
DESC:desc	Em que área aumentou a HP o seu volume de negócios em 1994? 	a mais recente geração de impressoras a laser 
HUM:desc	Quem é Thomas Klante? 	porta-voz da Rheinisch-Westfälischen Elektrizitätswerke (RWE) 
ENTY:substance	Que substâncias serão tratadas na instalação de tratamento definitivo Konrad? 	resíduos nucleares altamente radioactivos 
DESC:def	O que é Mayr-Melnhof? 	produtor de cartão austríaco 
NUM:date	Quando será Weimar capital cultural da Europa? 	1999
HUM:desc	Quem é Götz Friedrich? 	director artistico da Deutsche Oper de Berlim 
LOC:other	Qual a proveniência do Chaos Computer Club (CCC)? 	Hamburgo 
DESC:def	O que é o BMFT? 	Ministério Federal para a Investigação e Tecnologia 
ENTY:termeq	Como se chama a norma europeia para comunicações móveis? 	GSM 
DESC:def	O que é a Ericsson? 	empresa electrónica sueca 
DESC:def	O que é o ETSI 	Instituto Europeu de Normalização das Telecomunicações 
HUM:gr	Quem produz o carro compacto Smart? 	a companhia MCC Micro Compact Car 
NUM:date	Quando aparecerá no mercado o carro compacto Smart? 	1998
HUM:gr	Que empresa será fundada conjuntamente pela Mercedes e pela SMH? 	MCC Micro Compact Car 
DESC:desc	O que é Micro Compact Car (MCC)? 	joint venture da Mercedes e da SMH para a produção e marketing do carro Swatch 
ENTY:product	Que produz a empresa Victorinox? 	canivetes 
ENTY:product	Que produz a MCC? 	o automóvel Micro Compact Car 
LOC:other	Onde é que o Ubilab está representado com o seu próprio endereço? 	na Internet 
LOC:mount	Qual o monte mais alto do mundo? 	Evereste 
LOC:mount	Como se chama a montanha mais alta do Japão? 	Fujiyama 
ENTY:symbol	Qual o símbolo mais importante de Paris? 	a Torre Eiffel 
ENTY:other	Que danificou seriamente o Coliseu em 851? 	um terramoto 
ENTY:other	Que foi proibido no Coliseu em 438? 	lutas de gladiadores 
NUM:money	Quanto custará o Internet Explorer da Microsoft? 	nada 
DESC:reason	De que morreram 232 pessoa no Rajasthan? 	malária 
ENTY:dismed	Que epidemia atingiu a Albânia? 	cólera 
LOC:other	Onde são produzidas as barras de chocolate "Milka"? 	na Alemanha 
ENTY:other	Que foi montado em Seibertenrod em Vogelsberg? 	o maior parque de energia eólica do Hesse 
HUM:ind	Quem foi nomeado presidente do grupo das Máquinas Fotográficas Leica? 	Klaus-Dieter Hoffmann, de 40 anos 
ENTY:product	Que produz o grupo tecnológico Leica? 	microscópios, equipamento de observação [de campo, e sensores ópticos 
ENTY:product	Que vende a Oracle? 	bases de dados 
DESC:reason	Como ocorreram 22 feridos ligeiros no Empire State Building? 	por causa de um incêndio 
NUM:date	Quando será inaugurado o museu Guggenheim em Bilbau? 	1997
HUM:ind	Quem é o arquitecto do museu Guggenheim em Bilbau? 	Frank Gehry 
ENTY:other	O que está Frank Gerry a construir em Bilbau? 	uma filial do Guggenheim 
HUM:gr	Que fabricante de móveis gere um museu em Weil am Rhein? 	Vitra 
ENTY:cremat	Que é exibido no Museu do Design Vitra? 	mais de 1200 cadeiras e outros móveis dos tempos modernos 
HUM:desc	Quem é Alberto Fujimori? 	presidente do Peru 
DESC:def	O que é a OMC? 	Organização Mundial do Comércio 
HUM:ind	Como se chama o ministro do Interior senegalês? 	Djibo Ka 
LOC:other	Onde fica Halifax? 	Canadá 
HUM:ind	Quem é o ministro das finanças russo? 	Boris Fiodorov 
NUM:date	Quando ocorreu o atentado na estação de metro de Saint-Michel em Paris? 	25 de Julho 
HUM:desc	Quem é Umberto Bossi? 	líder da Liga Norte 
LOC:other	Onde fica o La Scala? 	Milão 
NUM:count	Quantas vítimas provocou a vaga de calor na Índia? 	100
DESC:def	O que é a Ordem do Templo Solar? 	seita 
NUM:date	Quando morreu Lenine? 	21 de Janeiro de 1924 
NUM:date	Quando ocorreu a revolução islâmica no Irão? 	1979
ENTY:other	Como se chamava o ferry que naufragou na Suécia em 1994? 	Estonia 
HUM:gr	Quem cometeu o atentado no metro de Tóquio? 	Aum 
LOC:other	Onde teve lugar a Conferência Mundial do Clima de 1995? 	Berlim 
LOC:other	Onde fica a sede da UNESCO? 	Paris 
NUM:date	Quando aderiu a Áustria a Schengen? 	28 de Abril 
HUM:gr	Como se chama o partido de Silvio Berlusconi? 	Forza Italia 
NUM:count	Quantos católicos há em África? 	90 milhões 
HUM:desc	Quem é Philippe Biberson? 	presidente dos Médicos sem Fronteiras 
DESC:def	O que é a Eurotunnel? 	empresa de transportes 
NUM:date	Quando foi o ataque a Pearl Harbor? 	7 de Dezembro de 1941 
HUM:ind	Quem é o realizador de "Nikita"? 	Luc Besson 
HUM:ind	Como se chama a rainha dos Países-Baixos? 	Beatriz 
HUM:desc	Quem é Montxo Armendariz? 	cineasta espanhol 
HUM:ind	Quem conquistou a Palma de Ouro em Cannes em 1995? 	Emir Kusturica 
HUM:desc	Quem é Paul Feyerabend? 	epistemólogo austríaco 
NUM:count	Quantos habitantes tem o Iraque? 	18,5 milhões 
NUM:count	Quantos anos de residência são necessários para obter a nacionalidade suíça? 	8
HUM:desc	Quem é Butros Butros-Ghali 	secretário-geral das Nações Unidas 
DESC:def	O que é o IRA? 	Exército Republicano Irlandês 
LOC:other	Onde se realiza o Concurso Chopin? 	Varsóvia 
DESC:def	O que é o GIA? 	Grupo Islâmico Armado 
HUM:ind	Como se chama o presidente do Burundi? 	Sylvestre Ntibantunganya 
NUM:date	Quando teve lugar a primeira volta das eleições legislativas na Hungria em 1994? 	8 de Maio 
HUM:title	Qual o cargo de Redha Malek em 1994? 	primeiro-ministro argelino 
NUM:date	Em que dia foi apresentado o plano de reestruturação da Euro-Disney? 	segunda-feira, 14 de Março 
LOC:other	Onde teve lugar a nona edição da Videoformes? 	Clermont-Ferrand 
HUM:ind	Quem foi eleito presidente do Conselho Geral da Guiana? 	Stéphan Phinera 
LOC:country	De que país é Iegor Gaidar primeiro ministro? 	Rússia 
HUM:ind	Qual o nome do primeiro-ministro ucraniano nomeado em Junho de 1994? 	Vitali Massol 
NUM:date	Quando foram os cannabis despenalizados na Alemanha? 	28 de Abril 
HUM:gr	De que grupo político é Charles Millon presidente? 	UDF 
HUM:ind	Quem é o novo presidente do Ruanda? 	Pasteur Bizimungu 
LOC:other	Onde teve lugar a Conferência Internacional sobre a População e Desenvolvimento? 	no Cairo 
NUM:date	Quando decorreu o 48º festival de Avignon? 	de 8 de Julho a 2 de Agosto 
LOC:city	Qual a capital do Togo? 	Lomé 
NUM:money	Que quantia exige o FC Sevilha de Diego Maradona? 	8 milhões de francos 
HUM:ind	Como se chama o ministro das Finanças polaco? 	Marek Borowski 
LOC:other	Onde fica Kishinev? 	Moldávia 
NUM:count	Quantos habitantes tem os Emirados Árabes Unidos? 	2,2 milhões 
HUM:ind	Quem é o presidente da Comissão Europeia em 1995? 	Jacques Santer 
DESC:manner	Como morreu Juvénal Habyarimana? 	assassinado 
ABBR:exp	Que significa a sigla EAU? 	Emirados Árabes Unidos 
HUM:ind	Quem venceu as eleições legislativas húngaras? 	Gyula Horn 
ENTY:sport	Que torneio Andrei Medveded venceu? 	o Torneio de Monte-Carlo 
HUM:ind	Quem foi derrotado por Andrei Medveded na final do Torneio de Monte-Carlo? 	Sergi Bruguera 
LOC:country	Qual a nacionalidade do tenista Sergi Bruguera? 	espanhol 
HUM:ind	Quem venceu o slalom super-gigante em Lillehammer? 	Markus Wasmeier 
NUM:date	Qual a data de nascimento de Claude Lévi-Strauss? 	28 de Novembro de 1908 
LOC:other	Onde nasceu Aleksandr Vassilievich Korjakov? 	em Moscovo 
ENTY:cremat	Como se chama o único diário independente da Jugoslávia? 	Borba 
LOC:city	Qual é a capital da província da Cabília? 	Tizi-Ouzou 
LOC:country	De que país é Cabul a capital? 	Afeganistão 
NUM:period	Qual a esperança de vida em França em 1991? 	77,7 anos 
NUM:volsize	Qual a superfície da República da Chechénia? 	13.000 quilómetros quadrados 
NUM:count	Quantos habitantes tem a República da Chechénia? 	1,2 milhões 
LOC:other	Onde decorreu a sétima cimeira da Organização da Conferência Islâmica? 	Casablanca 
HUM:gr	De que organização Pierre-Paul Schweitzer era director-geral? 	Fundo Monetário Internacional 
LOC:country	Quem venceu o torneio das Cinco Nações em 1994? 	País de Gales 
NUM:date	Quando foi a inauguração oficial do Túnel da Mancha? 	6 de Maio 
HUM:ind	Que personalidade inaugurou com François Mitterrand o Túnel sob a Mancha? 	Isabel II de Inglaterra 
LOC:other	Onde fica o Lesoto? 	África do Sul 
LOC:other	Onde decorreu o Salão Internacional da Aeronáutica? 	Farnborough 
NUM:count	Quantos habitantes tem o Lesoto? 	1,6 milhões 
HUM:gr	Qual o nome do partido político de Ntsu Mokhele, primeiro-ministro do Lesoto? 	Basotho Congress Party (BCP) 
NUM:count	Quantos filmes foram apresentados no Festival de Cinema Mundial de Montreal? 	quase trezentos 
ENTY:cremat	Que filme recebeu o Grande Prémio especial do júri no Festival de Cinema Mundial de Montreal? 	Canción de Cuna 
HUM:ind	Quem realizou "Canción de Cuna"? 	Jose Luis Garci 
HUM:ind	Que actor recebeu o prémio de interpretação masculina no Festival de Cinema de Montreal? 	Alan Rickman 
HUM:ind	Qual o nome do primeiro-ministro do Ruanda? 	Faustin Twagiramungu 
LOC:country	De que país é a escritora Taslima Nasreen? 	Bangladesh 
HUM:ind	Quem foi o último rei da Roménia? 	Miguel da Roménia 
NUM:date	Quando foi morto Babacar Seye? 	15 de Maio de 1993 
HUM:title	Qual o cargo de Albert Reynolds na Irlanda? 	primeiro-ministro 
NUM:count	Quantos postos de trabalho prevê a companhia Air France suprimir em 1995? 	1.560 
LOC:other	Onde aterrou o Airbus da Air France após a tomada de reféns em Argel? 	aeroporto de Marselha-Marignane 
NUM:count	Quantos empregados tem o grupo Warburg? 	4.472 pessoas 
NUM:date	Quando se casaram Federico Fellini e Giuleta Masina? 	30 de Outubro de 1943 
HUM:title	Qual a profissão de Danny Barker? 	guitarrista 
NUM:perc	Qual a taxa de desemprego nos Estados Unidos no final de 1994? 	menos de 6% 
HUM:gr	Qual a companhia cinematográfica mais antiga do mundo? 	Gaumont 
HUM:gr	De que escuderia é director Flavio Briatore? 	Benetton 
NUM:date	Quando tiveram lugar as eleições europeias de 1994? 	12 de Junho 
ENTY:lang	Qual a língua oficial da República do Iémene? 	árabe 
NUM:period	Com que idade morreu Fernando Rey? 	setenta e sete anos 
DESC:manner	Como morreu Jack Unterweger? 	enforcou-se 
LOC:other	Onde fica Luxor? 	Alto Egipto 
NUM:date	Desde quando está em vigor o embargo ao Iraque? 	1990
HUM:ind	Qual a alcunha de Ho Chi Minh? 	Tio Ho 
LOC:other	Onde fica a Esfinge de Gizé? 	perto do Cairo 
LOC:other	Onde é Izhevsk? 	960 quilómetros a leste de Moscovo 
LOC:other	Onde fica o Estádio José Alvalade? 	Lisboa 
LOC:other	Onde vive José Saramago? 	Lanzarote 
LOC:other	Onde nasceu Nelson Mandela? 	Transkei 
ENTY:other	Qual o maior satélite de Júpiter? 	Ganimedes 
LOC:other	Onde fica Turku? 	Finlândia 
LOC:city	Qual a antiga capital da Polónia? 	Cracóvia 
LOC:other	Em que distrito fica Paredes de Coura? 	Viana do Castelo 
LOC:other	Onde fica Sosnovy Bor? 	perto de São Petersburgo 
LOC:other	Em que ilha fica Ponta Delgada? 	São Miguel 
LOC:other	Onde é que nasceu Álvaro Cunhal? 	Coimbra 
LOC:other	Onde é o hospital Júlio de Matos? 	Lisboa 
LOC:country	Qual é o país mais pequeno da União Europeia? 	Luxemburgo 
LOC:other	Onde fica Gabrovo? 	centro da Bulgária 
LOC:state	Qual o estado mais setentrional dos EUA? 	Alasca 
LOC:city	Qual é a capital da Bielorússia? 	Minsk 
LOC:other	Onde desagua o rio Cubango? 	deserto do Kalahari 
LOC:city	Em que cidade o Mosela encontra o Reno? 	Coblença 
LOC:state	Em que estado do Brasil fica Campo Grande? 	Mato Grosso do Sul 
LOC:other	Onde se situa Tianjin? 	norte da China 
LOC:other	Onde é a Ilha do Diabo? 	Guiana francesa 
HUM:ind	Quem inventou o saxofone? 	Adolf Sax 
HUM:ind	Quem escreveu "O Principezinho"? 	Antoine de Saint-Exupéry 
HUM:ind	Quem é o recordista mundial do salto à vara? 	Sergei Bubka 
HUM:ind	Quem é a "diva dos pés descalços"? 	Cesária Évora 
HUM:ind	Quem é o secretário-geral do PCP? 	Carlos Carvalhas 
HUM:ind	De quem é filha Martine Aubry? 	Jacques Delors 
HUM:ind	Quem é o Presidente da Câmara de Lisboa? 	Jorge Sampaio 
HUM:ind	Quem é o Presidente da Câmara de Lamego? 	Rui Valadares 
HUM:ind	Quem é o embaixador de Portugal em França? 	José Maria Shearman de Macedo 
HUM:ind	Com quem casou Whoppi Goldberg? 	Larry Trachtenberg 
HUM:ind	Quem foi o primeiro presidente dos Estados Unidos? 	George Washington 
HUM:ind	Quem é o ministro-presidente da Renânia-Palatinado? 	Rudolf Scharping 
HUM:ind	Quem foi o último governador de Timor Leste? 	Lemos Pires 
HUM:ind	Quem era o marido de Vieira da Silva? 	Arpad Szenes 
HUM:ind	Quem é o capitão do FC Porto? 	João Pinto 
HUM:ind	Quem é o imã da mesquita de Lisboa? 	xeque Munir 
HUM:ind	Quem realizou o filme "Lisbon Story"? 	Wim Wenders 
HUM:ind	Quem é a ministra sueca do ambiente? 	Anna Lindh 
HUM:ind	Como se chama a rainha da Dinamarca? 	Margarida II 
HUM:ind	Quem é o padroeiro de Penafiel? 	S. Martinho 
HUM:gr	Que grupo matou Aldo Moro? 	Brigadas Vermelhas 
HUM:gr	De que grupo é vocalista Teresa Salgueiro? 	Madredeus 
HUM:gr	Que equipa venceu a Taça CERS em hóquei em patins? 	Hóquei Clube de Barcelos 
HUM:gr	De que clube é treinador Bobby Robson? 	FC Porto 
HUM:gr	Que empresa tem uma refinaria em Leça da Palmeira? 	Petrogal 
HUM:gr	A que partido pertence Duarte Lima? 	PSD 
HUM:gr	Quem financia as IPSS? 	Segurança Social 
NUM:count	Quantos submarinos tem a marinha portuguesa? 	três 
NUM:count	Quantos municípios há em Portugal? 	305
NUM:dist	Qual o comprimento da Ponte do Freixo? 	700 metros 
NUM:count	Quantos anos tem Inês de Medeiros? 	26
NUM:dist	Qual a distância de Braga a Guimarães? 	18 quilómetros 
NUM:dist	Qual a altura do K2? 	8475m 
NUM:money	Qual o valor da dívida da Eurotunnel? 	superior a 62 milhões de francos 
NUM:volsize	Qual a área da Baixa-Saxónia? 	47.351 quilómetros quadrados 
NUM:count	Quantos habitantes tem a República Dominicana? 	7,3 milhões 
NUM:count	Quantos golos marcou Eusébio na sua carreira? 	731
NUM:speed	A que velocidade viaja a luz? 	300 mil quilómetros por segundo 
NUM:date	Quando foram criadas as FPLM (Forças Populares de Libertação de Moçambique)? 	há 30 anos 
NUM:date	Quando foi a independência de Cabo Verde? 	5 de Julho de 1975 
NUM:date	Quando estreia o filme "Lisbon Story"? 	16 de Dezembro 
NUM:date	Quando foi aprovada a Declaração Universal dos Direitos do Homem? 	1948
NUM:date	Quando morreu Salvador Allende? 	11 de Setembro de 1973 
NUM:date	Quando morreu Simão Bolívar? 	17 de Dezembro de 1830 
NUM:date	Em que dia se comemora a independência do Brasil? 	7 de Setembro 
NUM:date	Quando se tornou "A Portuguesa" hino nacional? 	5 de Outubro de 1910 
NUM:date	Em que ano ocorreu o 25 de Abril? 	1974
ENTY:other	Em que embateu o Titanic? 	num iceberg 
ENTY:symbol	Qual o símbolo de liderança da Volta a Itália? 	camisola rosa 
ENTY:other	O que foi erguido em 13 de Agosto de 1961? 	muro de Berlim 
ENTY:other	A que era alérgico Mel Blanc? 	cenouras 
LOC:country	Que país é campeão do mundo de futebol? 	Brasil 
DESC:reason	Como morreu Pasolini? 	assassinado 
DESC:manner	Como se tornou o Brasil tetracampeão mundial de futebol? 	através da marcação de pontapés da marca de penalti 
ENTY:cremat	Qual foi o primeiro filme sonoro português? 	A Severa 
ENTY:body	Que vende Fausto ao Diabo? 	a alma 
ENTY:animal	Que animal é o símbolo da Namíbia? 	zebra 
HUM:ind	Qual o pseudónimo de Álvaro Cunhal? 	Manuel Tiago 
LOC:country	Qual é a nacionalidade de Yordan Letchkov? 	búlgaro 
LOC:country	Qual a nacionalidade de Hercule Poirot? 	belga 
HUM:title	O que era Napoleão III a Napoleão Bonaparte? 	sobrinho 
ENTY:substance	De que material são os frisos do Parténon? 	mármore 
HUM:title	Qual a patente de Alfred Dreyfus? 	capitão 
ENTY:color	De que cor é a neve? 	branca 
ENTY:currency	Qual é a moeda iraquiana? 	dinar 
LOC:other	Qual o endereço da Livraria Barata? 	Av. de Roma, 11 
HUM:desc	Quem é Leonor Beleza? 	ex-ministra da saúde 
HUM:desc	Quem é Arnold Ruutel? 	ex-Presidente do Soviete Supremo da Estónia Soviética 
HUM:desc	Quem é Wim Duisenberg? 	presidente do banco central holandês 
HUM:desc	Quem é Rocha Vieira? 	governador de Macau 
HUM:desc	Quem é Guilherme da Fonseca? 	juiz do Tribunal Constitucional 
HUM:desc	Quem é Fernando Gomes? 	presidente da Câmara Municipal do Porto 
HUM:desc	Quem é Valentina Terechkova? 	primeira mulher cosmonauta 
HUM:desc	Quem é Jorge Amado? 	escritor brasileiro 
DESC:def	O que é o PC do B? 	Partido Comunista do Brasil 
DESC:def	O que é o PSN? 	Partido da Solidariedade Nacional 
DESC:def	O que é o CSKA? 	a equipa do Exército 
DESC:def	O que é a Vigor? 	empresa de lacticínios 
